tid,mono_casting,bdry_cleaning,leveling,num_levels,num_boundaries,t_reduced_p,t_reduced_r,t_reduced_f,t_full_p,t_full_r,t_full_f
5,prob,absorb,unique,14,18,0.49833200867617267,0.5342920542509491,0.51568589610406,0.7075700113865081,0.5731206487829882,0.6332879540662096
5,prob,absorb,mean_shift,4,18,0.6097404234754944,0.5174683910843053,0.5598277654316344,0.7236499014959306,0.5583583228167306,0.6303484449522804
5,prob,kde,unique,17,17,0.28208287454333175,0.5389106040916906,0.37032560252929303,0.7061865973165068,0.578564484165555,0.6360368016654717
5,prob,kde,mean_shift,3,17,0.5995962521177757,0.5319211325763278,0.563734895865044,0.7184766899069335,0.5717432297664686,0.6367661465082557
5,prob,none,unique,22,37,0.45365268720427876,0.542728839458046,0.49420907524882934,0.7049282946984474,0.5815528376085841,0.6373246210883766
5,prob,none,mean_shift,3,37,0.6879612836788102,0.5007563114404908,0.5796178272170551,0.7526330199833414,0.5436203937577332,0.6312757279421022
6,depth,absorb,unique,6,10,0.44191921205789686,0.5897298994701273,0.5052356844757326,0.830896055606848,0.6529586551433624,0.731258615957991
6,depth,absorb,mean_shift,2,10,0.5975634023731874,0.5895503891091197,0.5935298518376833,0.832683710896258,0.6528105688383811,0.7318570450096158
6,depth,kde,unique,10,10,0.41992836441786535,0.5852029672416316,0.4889775438211275,0.8131052901944466,0.6449504268466036,0.7193313641626433
6,depth,kde,mean_shift,3,10,0.5246923552505213,0.5849228167850475,0.5531729163646979,0.8152935502237829,0.6447189637701596,0.7200420651613029
6,depth,none,unique,9,29,0.3174473734776509,0.6157897904370467,0.41893070517809217,0.7983443642195253,0.676057221005993,0.7321295333489408
6,depth,none,mean_shift,3,29,0.6579292434010984,0.6056603496198834,0.6307137345611833,0.8126745207711543,0.6661532431182287,0.7321552662595956
6,prob,absorb,unique,9,10,0.5447147488256346,0.5634150591754481,0.5539071149018931,0.7845449547762537,0.6227271801969191,0.694332610280597
6,prob,absorb,mean_shift,3,10,0.6753395883620342,0.5170543836783494,0.5856911437359993,0.7814402810601974,0.5862500507401295,0.6699168573033445
